Opening,Opening.1,Title,Director,Cast,Genre,Producer,Ref,Production Studio
J A N,3.0,Agadam,Mohamad Issack,"Tamizh, Srini Iyer, Sri Priyanka, Baskar",Horror,Last Bench Boys Productions,[10],
J A N,3.0,Athimalai Muthupandi,Raghupathi,"Sarathi, Sopna, Maragatham, Manikkanan",Action,Krishnalaya Movies,[10],
J A N,3.0,En Kadhal Pudhidhu,Maarishkumar,"Ram Sathya, Umashree, Namitha Pramod, Pandiarajan",Romance,Veera Movies,[10],
J A N,3.0,Kathiyai Theetathe Buthiyai Theetu,Srikrishna,"Athava Ram, Priya, Manju",Drama,DSK Productions,[10],
J A N,3.0,Mun Andhi Saaral,Devendiran,"Ansar, Anand, Murali, Nakshatra",Romance,Focus Pictures,[10],
J A N,3.0,Namma Gramam,Mohan Sharma,"Nishan, Samvrutha Sunil, Nedumudi Venu, Sukumari",Drama,Gunachitra Movies,[10],
J A N,10.0,Jilla,R. T. Neason,"Mohanlal, Vijay, Kajal Aggarwal, Mahat, Niveda Thomas",Action-masala,Super Good Films,[11],
J A N,10.0,Veeram,Siva,"Ajith Kumar, Tamannaah, Vidharth, Bala, Pradeep Rawat",Action-masala,Vijaya Productions,[11],
J A N,14.0,Kalavaram,Ramesh Selvan,"Sathyaraj, Tanikella Bharani, Ajay Reddy, Yasir",Action,Rithish Harish Movies,[12],
J A N,14.0,Vidiyum Varai Pesu,A.B.Mugan,"Anith, Nanma, Vaidegi",Romance,A. M. Films Productions,[12],
J A N,24.0,Goli Soda,Vijay Milton,"Sree Ram, Kishore, Pandi, Murugesh",Drama,Thirrupathi Brothers,[13],
J A N,24.0,Ner Ethir,M.Jaya Pradeep,"Richard Rishi, Vidhya, Aiswarya, Parthy",Thriller,V. Creations,[13],
J A N,24.0,Malini 22 Palayamkottai,Sripriya,"Nithya Menen, Krish J. Sathaar",Drama-thriller,Rajkumar Theaters,[13],
J A N,30.0,Inga Enna Solluthu,Vincent Selva,"VTV Ganesh, Santhanam, Meera Jasmine",Comedy,VTV Productions,[14],
J A N,30.0,Ninaithathu Yaaro,Vikraman,"Rejith Menon, Nimisha Suresh, Karthik Yogi, Azar",Romance,Abhishek Films,[14],
J A N,31.0,Maalai Nera Pookkal,K.J.S,"Nagina, Kaviya, Jeni",Adult,Y Pictures,,
J A N,31.0,Ninaivil Nindraval,Agasthiya Bharathi,"Ashwin Sekhar, Keerthi Chawla, Gayathri Venkatagiri",Action,Sri Sabari Movies,[14],
J A N,31.0,Rummy,Balakrishnan,"Vijay Sethupathi, Aishwarya Rajesh, Inigo Prabhakaran, Gayathrie",Drama,JSK Film Corporation,[14],
F E B,7.0,Kovalanin Kadhali,K. Arjunaraja,"Dileepkumar, Kiranmai, Navneet Kapoo",Romance,Good Day Films,[15],
